model,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2
Ridge,4957.169779311967,6965.719222922207,0.6936989226412863,4990.250112251204,7031.308223293658,0.6901447322595233
Random Forest,2791.528396474647,4492.371971755034,0.8724735281853274,3542.615086045605,5653.137470544541,0.7997070306858078
XGBoost (base),3122.778564453125,4797.741968884946,0.8545470237731934,3512.940673828125,5490.9567472344925,0.8110344409942627
XGBoost (tuned),1723.9915771484375,2684.1276981544675,0.9544744491577148,2979.294189453125,4924.443927998368,0.8480148911476135
