model,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2
Ridge,4957.169779311967,6965.719222922207,0.6936989226412863,4990.250112251204,7031.308223293658,0.6901447322595233
Random Forest,2791.528396474647,4492.371971755034,0.8724735281853274,3542.615086045605,5653.137470544542,0.7997070306858078
